ARO	AMR gene family	ARGs	Class	resistance mechanisms	Length
ARO:3006077	OXA beta-lactamase	OXA-885	carbapenem;cephalosporin;penam	antibiotic inactivation	274
ARO:3006078	OXA beta-lactamase	OXA-886	carbapenem;cephalosporin;penam	antibiotic inactivation	274
ARO:3006079	OXA beta-lactamase	OXA-887	carbapenem;cephalosporin;penam	antibiotic inactivation	274
ARO:3006080	OXA beta-lactamase	OXA-888	carbapenem;cephalosporin;penam	antibiotic inactivation	274
ARO:3006081	OXA beta-lactamase	OXA-889	carbapenem;cephalosporin;penam	antibiotic inactivation	274
ARO:3006082	OXA beta-lactamase	OXA-890	carbapenem;cephalosporin;penam	antibiotic inactivation	274
ARO:3006083	OXA beta-lactamase	OXA-891	carbapenem;cephalosporin;penam	antibiotic inactivation	274
ARO:3006084	OXA beta-lactamase	OXA-892	carbapenem;cephalosporin;penam	antibiotic inactivation	274
ARO:3006085	OXA beta-lactamase	OXA-893	carbapenem;cephalosporin;penam	antibiotic inactivation	273
ARO:3006086	OXA beta-lactamase	OXA-894	carbapenem;cephalosporin;penam	antibiotic inactivation	265
ARO:3006087	OXA beta-lactamase	OXA-896	carbapenem;cephalosporin;penam	antibiotic inactivation	274
ARO:3006088	OXA beta-lactamase	OXA-900	carbapenem;cephalosporin;penam	antibiotic inactivation	270
ARO:3006089	OXA beta-lactamase	OXA-901	carbapenem;cephalosporin;penam	antibiotic inactivation	262
ARO:3006090	OXA beta-lactamase	OXA-902	carbapenem;cephalosporin;penam	antibiotic inactivation	263
ARO:3006091	OXA beta-lactamase	OXA-903	carbapenem;cephalosporin;penam	antibiotic inactivation	262
ARO:3006092	OXA beta-lactamase	OXA-904	carbapenem;cephalosporin;penam	antibiotic inactivation	262
ARO:3006093	OXA beta-lactamase	OXA-905	carbapenem;cephalosporin;penam	antibiotic inactivation	262
ARO:3006094	OXA beta-lactamase	OXA-907	carbapenem;cephalosporin;penam	antibiotic inactivation	262
ARO:3006095	OXA beta-lactamase	OXA-908	carbapenem;cephalosporin;penam	antibiotic inactivation	262
ARO:3006096	OXA beta-lactamase	OXA-909	carbapenem;cephalosporin;penam	antibiotic inactivation	274
ARO:3006097	OXA beta-lactamase	OXA-910	carbapenem;cephalosporin;penam	antibiotic inactivation	274
ARO:3006098	OXA beta-lactamase	OXA-911	carbapenem;cephalosporin;penam	antibiotic inactivation	274
ARO:3006099	OXA beta-lactamase	OXA-912	carbapenem;cephalosporin;penam	antibiotic inactivation	264
ARO:3006100	OXA beta-lactamase	OXA-913	carbapenem;cephalosporin;penam	antibiotic inactivation	262
ARO:3006101	OXA beta-lactamase	OXA-914	carbapenem;cephalosporin;penam	antibiotic inactivation	262
ARO:3006102	OXA beta-lactamase	OXA-916	carbapenem;cephalosporin;penam	antibiotic inactivation	274
ARO:3006103	OXA beta-lactamase	OXA-917	carbapenem;cephalosporin;penam	antibiotic inactivation	264
ARO:3006104	OXA beta-lactamase	OXA-918	carbapenem;cephalosporin;penam	antibiotic inactivation	265
ARO:3006105	OXA beta-lactamase	OXA-919	carbapenem;cephalosporin;penam	antibiotic inactivation	275
ARO:3006106	OXA beta-lactamase	OXA-920	carbapenem;cephalosporin;penam	antibiotic inactivation	265
ARO:3006107	OXA beta-lactamase	OXA-921	carbapenem;cephalosporin;penam	antibiotic inactivation	276
ARO:3006108	OXA beta-lactamase	OXA-922	carbapenem;cephalosporin;penam	antibiotic inactivation	265
ARO:3006109	OXA beta-lactamase	OXA-923	carbapenem;cephalosporin;penam	antibiotic inactivation	265
ARO:3006110	OXA beta-lactamase	OXA-924	carbapenem;cephalosporin;penam	antibiotic inactivation	265
ARO:3006111	OXA beta-lactamase	OXA-925	carbapenem;cephalosporin;penam	antibiotic inactivation	274
ARO:3006112	OXA beta-lactamase	OXA-927	carbapenem;cephalosporin;penam	antibiotic inactivation	274
ARO:3006113	OXA beta-lactamase	OXA-928	carbapenem;cephalosporin;penam	antibiotic inactivation	261
ARO:3006114	OXA beta-lactamase	OXA-929	carbapenem;cephalosporin;penam	antibiotic inactivation	261
ARO:3006115	OXA beta-lactamase	OXA-932	carbapenem;cephalosporin;penam	antibiotic inactivation	266
ARO:3006116	OXA beta-lactamase	OXA-935	carbapenem;cephalosporin;penam	antibiotic inactivation	266
ARO:3006117	OXA beta-lactamase	OXA-937	carbapenem;cephalosporin;penam	antibiotic inactivation	262
ARO:3006118	OXA beta-lactamase	OXA-938	carbapenem;cephalosporin;penam	antibiotic inactivation	274
ARO:3006119	OXA beta-lactamase	OXA-939	carbapenem;cephalosporin;penam	antibiotic inactivation	274
ARO:3006120	OXA beta-lactamase	OXA-940	carbapenem;cephalosporin;penam	antibiotic inactivation	274
ARO:3006121	OXA beta-lactamase	OXA-941	carbapenem;cephalosporin;penam	antibiotic inactivation	273
ARO:3006122	OXA beta-lactamase	OXA-942	carbapenem;cephalosporin;penam	antibiotic inactivation	273
ARO:3006123	OXA beta-lactamase	OXA-943	carbapenem;cephalosporin;penam	antibiotic inactivation	273
ARO:3006124	OXA beta-lactamase	OXA-945	carbapenem;cephalosporin;penam	antibiotic inactivation	275
ARO:3006125	OXA beta-lactamase	OXA-946	carbapenem;cephalosporin;penam	antibiotic inactivation	276
ARO:3006126	OXA beta-lactamase	OXA-947	carbapenem;cephalosporin;penam	antibiotic inactivation	275
ARO:3006127	OXA beta-lactamase	OXA-948	carbapenem;cephalosporin;penam	antibiotic inactivation	276
ARO:3006128	OXA beta-lactamase	OXA-949	carbapenem;cephalosporin;penam	antibiotic inactivation	275
ARO:3006129	OXY beta-lactamase	OXY-2-14	cephalosporin;monobactam;penam	antibiotic inactivation	290
ARO:3006130	OXY beta-lactamase	OXY-2-15	cephalosporin;monobactam;penam	antibiotic inactivation	288
ARO:3006131	PER beta-lactamase	PER-10	carbapenem;cephalosporin;monobactam;penam;penem	antibiotic inactivation	308
ARO:3006132	PER beta-lactamase	PER-11	carbapenem;cephalosporin;monobactam;penam;penem	antibiotic inactivation	308
ARO:3006133	PER beta-lactamase	PER-12	carbapenem;cephalosporin;monobactam;penam;penem	antibiotic inactivation	308
ARO:3006134	PER beta-lactamase	PER-13	carbapenem;cephalosporin;monobactam;penam;penem	antibiotic inactivation	308
ARO:3006135	PER beta-lactamase	PER-14	carbapenem;cephalosporin;monobactam;penam;penem	antibiotic inactivation	308
ARO:3006136	PER beta-lactamase	PER-15	carbapenem;cephalosporin;monobactam;penam;penem	antibiotic inactivation	308
ARO:3006137	PER beta-lactamase	PER-16	carbapenem;cephalosporin;monobactam;penam;penem	antibiotic inactivation	308
ARO:3006138	PER beta-lactamase	PER-9	carbapenem;cephalosporin;monobactam;penam;penem	antibiotic inactivation	308
ARO:3006139	TEM beta-lactamase	TEM-98	cephalosporin;monobactam;penam;penem	antibiotic inactivation	286
ARO:3006140	TEM beta-lactamase	TEM-99	cephalosporin;monobactam;penam;penem	antibiotic inactivation	286
ARO:3006141	OKP beta-lactamase	OKP-A-17	cephalosporin;penam	antibiotic inactivation	286
ARO:3006142	OKP beta-lactamase	OKP-B-16	cephalosporin;penam	antibiotic inactivation	286
ARO:3006143	OKP beta-lactamase	OKP-B-21	cephalosporin;penam	antibiotic inactivation	286
ARO:3006144	OKP beta-lactamase	OKP-B-22	cephalosporin;penam	antibiotic inactivation	286
ARO:3006145	OKP beta-lactamase	OKP-B-23	cephalosporin;penam	antibiotic inactivation	286
ARO:3006146	OKP beta-lactamase	OKP-B-24	cephalosporin;penam	antibiotic inactivation	286
ARO:3006147	OKP beta-lactamase	OKP-B-34	cephalosporin;penam	antibiotic inactivation	286
ARO:3006148	OKP beta-lactamase	OKP-B-36	cephalosporin;penam	antibiotic inactivation	286
ARO:3006149	OKP beta-lactamase	OKP-B-40	cephalosporin;penam	antibiotic inactivation	286
ARO:3006150	OKP beta-lactamase	OKP-B-41	cephalosporin;penam	antibiotic inactivation	286
ARO:3006151	OKP beta-lactamase	OKP-B-45	cephalosporin;penam	antibiotic inactivation	286
ARO:3006152	OKP beta-lactamase	OKP-C-1	cephalosporin;penam	antibiotic inactivation	286
ARO:3006153	OKP beta-lactamase	OKP-D-1	cephalosporin;penam	antibiotic inactivation	286
ARO:3006154	BEL beta-lactamase	BEL-4	cephalosporin;monobactam;penam	antibiotic inactivation	283
ARO:3006155	CME beta-lactamase	CME-2	penam	antibiotic inactivation	297
ARO:3006156	GES beta-lactamase	GES-27	carbapenem;cephalosporin;penam	antibiotic inactivation	287
ARO:3006157	GES beta-lactamase	GES-28	carbapenem;cephalosporin;penam	antibiotic inactivation	287
ARO:3006158	GES beta-lactamase	GES-29	carbapenem;cephalosporin;penam	antibiotic inactivation	287
ARO:3006159	GES beta-lactamase	GES-30	carbapenem;cephalosporin;penam	antibiotic inactivation	287
ARO:3006160	GES beta-lactamase	GES-31	carbapenem;cephalosporin;penam	antibiotic inactivation	287
ARO:3006161	GES beta-lactamase	GES-32	carbapenem;cephalosporin;penam	antibiotic inactivation	287
ARO:3006162	GES beta-lactamase	GES-33	carbapenem;cephalosporin;penam	antibiotic inactivation	287
ARO:3006163	GES beta-lactamase	GES-34	carbapenem;cephalosporin;penam	antibiotic inactivation	287
ARO:3006164	GES beta-lactamase	GES-35	carbapenem;cephalosporin;penam	antibiotic inactivation	287
ARO:3006165	GES beta-lactamase	GES-36	carbapenem;cephalosporin;penam	antibiotic inactivation	287
ARO:3006166	GES beta-lactamase	GES-37	carbapenem;cephalosporin;penam	antibiotic inactivation	287
ARO:3006167	GES beta-lactamase	GES-38	carbapenem;cephalosporin;penam	antibiotic inactivation	287
ARO:3006168	GES beta-lactamase	GES-39	carbapenem;cephalosporin;penam	antibiotic inactivation	287
ARO:3006169	GES beta-lactamase	GES-40	carbapenem;cephalosporin;penam	antibiotic inactivation	287
ARO:3006170	GES beta-lactamase	GES-41	carbapenem;cephalosporin;penam	antibiotic inactivation	287
ARO:3006171	GES beta-lactamase	GES-42	carbapenem;cephalosporin;penam	antibiotic inactivation	290
ARO:3006172	GES beta-lactamase	GES-43	carbapenem;cephalosporin;penam	antibiotic inactivation	287
ARO:3006173	GES beta-lactamase	GES-44	carbapenem;cephalosporin;penam	antibiotic inactivation	287
ARO:3006174	GES beta-lactamase	GES-45	carbapenem;cephalosporin;penam	antibiotic inactivation	287
ARO:3006175	GES beta-lactamase	GES-46	carbapenem;cephalosporin;penam	antibiotic inactivation	287
ARO:3006176	IMI beta-lactamase	IMI-12	carbapenem	antibiotic inactivation	292
ARO:3006177	IMI beta-lactamase	IMI-13	carbapenem	antibiotic inactivation	292
ARO:3006178	IMI beta-lactamase	IMI-14	carbapenem	antibiotic inactivation	292
ARO:3006179	IMI beta-lactamase	IMI-15	carbapenem	antibiotic inactivation	292
ARO:3006180	IMI beta-lactamase	IMI-16	carbapenem	antibiotic inactivation	292
ARO:3006181	IMI beta-lactamase	IMI-17	carbapenem	antibiotic inactivation	292
ARO:3006182	IMI beta-lactamase	IMI-18	carbapenem	antibiotic inactivation	292
ARO:3006183	IMI beta-lactamase	IMI-19	carbapenem	antibiotic inactivation	292
ARO:3006184	IMI beta-lactamase	IMI-20	carbapenem	antibiotic inactivation	292
ARO:3006185	IMI beta-lactamase	IMI-21	carbapenem	antibiotic inactivation	292
ARO:3006186	KPC beta-lactamase	KPC-44	carbapenem;cephalosporin;monobactam;penam	antibiotic inactivation	308
ARO:3006187	KPC beta-lactamase	KPC-58	carbapenem;cephalosporin;monobactam;penam	antibiotic inactivation	301
ARO:3006188	KPC beta-lactamase	KPC-59	carbapenem;cephalosporin;monobactam;penam	antibiotic inactivation	293
ARO:3006189	KPC beta-lactamase	KPC-60	carbapenem;cephalosporin;monobactam;penam	antibiotic inactivation	293
ARO:3006190	KPC beta-lactamase	KPC-61	carbapenem;cephalosporin;monobactam;penam	antibiotic inactivation	293
ARO:3006191	KPC beta-lactamase	KPC-62	carbapenem;cephalosporin;monobactam;penam	antibiotic inactivation	293
ARO:3006192	KPC beta-lactamase	KPC-63	carbapenem;cephalosporin;monobactam;penam	antibiotic inactivation	293
ARO:3006193	KPC beta-lactamase	KPC-64	carbapenem;cephalosporin;monobactam;penam	antibiotic inactivation	294
ARO:3006194	KPC beta-lactamase	KPC-65	carbapenem;cephalosporin;monobactam;penam	antibiotic inactivation	295
ARO:3006195	KPC beta-lactamase	KPC-66	carbapenem;cephalosporin;monobactam;penam	antibiotic inactivation	291
ARO:3006196	KPC beta-lactamase	KPC-71	carbapenem;cephalosporin;monobactam;penam	antibiotic inactivation	294
ARO:3006197	KPC beta-lactamase	KPC-72	carbapenem;cephalosporin;monobactam;penam	antibiotic inactivation	293
ARO:3006198	KPC beta-lactamase	KPC-73	carbapenem;cephalosporin;monobactam;penam	antibiotic inactivation	297
ARO:3006199	KPC beta-lactamase	KPC-74	carbapenem;cephalosporin;monobactam;penam	antibiotic inactivation	291
ARO:3006200	KPC beta-lactamase	KPC-75	carbapenem;cephalosporin;monobactam;penam	antibiotic inactivation	293
ARO:3006201	KPC beta-lactamase	KPC-76	carbapenem;cephalosporin;monobactam;penam	antibiotic inactivation	300
ARO:3006202	KPC beta-lactamase	KPC-77	carbapenem;cephalosporin;monobactam;penam	antibiotic inactivation	293
ARO:3006203	KPC beta-lactamase	KPC-78	carbapenem;cephalosporin;monobactam;penam	antibiotic inactivation	293
ARO:3006204	KPC beta-lactamase	KPC-79	carbapenem;cephalosporin;monobactam;penam	antibiotic inactivation	300
ARO:3006205	KPC beta-lactamase	KPC-80	carbapenem;cephalosporin;monobactam;penam	antibiotic inactivation	296
ARO:3006206	KPC beta-lactamase	KPC-81	carbapenem;cephalosporin;monobactam;penam	antibiotic inactivation	292
ARO:3006207	KPC beta-lactamase	KPC-82	carbapenem;cephalosporin;monobactam;penam	antibiotic inactivation	295
ARO:3006208	VEB beta-lactamase	VEB-11	cephalosporin;monobactam	antibiotic inactivation	299
ARO:3006209	VEB beta-lactamase	VEB-12	cephalosporin;monobactam	antibiotic inactivation	299
ARO:3006210	VEB beta-lactamase	VEB-13	cephalosporin;monobactam	antibiotic inactivation	299
ARO:3006211	VEB beta-lactamase	VEB-14	cephalosporin;monobactam	antibiotic inactivation	298
ARO:3006212	VEB beta-lactamase	VEB-15	cephalosporin;monobactam	antibiotic inactivation	299
ARO:3006213	VEB beta-lactamase	VEB-17	cephalosporin;monobactam	antibiotic inactivation	299
ARO:3006214	VEB beta-lactamase	VEB-19	cephalosporin;monobactam	antibiotic inactivation	299
ARO:3006215	VEB beta-lactamase	VEB-20	cephalosporin;monobactam	antibiotic inactivation	299
ARO:3006216	VEB beta-lactamase	VEB-21	cephalosporin;monobactam	antibiotic inactivation	299
ARO:3006217	VEB beta-lactamase	VEB-22	cephalosporin;monobactam	antibiotic inactivation	299
ARO:3006218	VEB beta-lactamase	VEB-23	cephalosporin;monobactam	antibiotic inactivation	299
ARO:3006219	VEB beta-lactamase	VEB-24	cephalosporin;monobactam	antibiotic inactivation	299
ARO:3006220	VEB beta-lactamase	VEB-25	cephalosporin;monobactam	antibiotic inactivation	299
ARO:3006221	VEB beta-lactamase	VEB-26	cephalosporin;monobactam	antibiotic inactivation	299
ARO:3006222	VEB beta-lactamase	VEB-27	cephalosporin;monobactam	antibiotic inactivation	299
ARO:3006223	BKC Beta-lactamase	BKC-2	carbapenem	antibiotic inactivation	313
ARO:3006224	cepA beta-lactamase	CepA-29	cephalosporin	antibiotic inactivation	300
ARO:3006225	cepA beta-lactamase	CepA-44	cephalosporin	antibiotic inactivation	300
ARO:3006226	cepA beta-lactamase	CepA-49	cephalosporin	antibiotic inactivation	300
ARO:3006227	FRI beta-lactamase	FRI-10	penam	antibiotic inactivation	294
ARO:3006228	ACC beta-lactamase	ACC-1a	cephalosporin;monobactam;penam	antibiotic inactivation	390
ARO:3006229	ACC beta-lactamase	ACC-1b	cephalosporin;monobactam;penam	antibiotic inactivation	390
ARO:3006230	ACC beta-lactamase	ACC-1c	cephalosporin;monobactam;penam	antibiotic inactivation	390
ARO:3006231	ACC beta-lactamase	ACC-1d	cephalosporin;monobactam;penam	antibiotic inactivation	390
ARO:3006232	ACC beta-lactamase	ACC-7	cephalosporin;monobactam;penam	antibiotic inactivation	390
ARO:3006233	ACC beta-lactamase	ACC-8	cephalosporin;monobactam;penam	antibiotic inactivation	386
ARO:3006234	ACT beta-lactamase	ACT-39	carbapenem;cephalosporin;cephamycin;penam	antibiotic inactivation	381
ARO:3006235	ACT beta-lactamase	ACT-40	carbapenem;cephalosporin;cephamycin;penam	antibiotic inactivation	381
ARO:3006236	ACT beta-lactamase	ACT-41	carbapenem;cephalosporin;cephamycin;penam	antibiotic inactivation	381
ARO:3006237	ACT beta-lactamase	ACT-42	carbapenem;cephalosporin;cephamycin;penam	antibiotic inactivation	381
ARO:3006238	ACT beta-lactamase	ACT-43	carbapenem;cephalosporin;cephamycin;penam	antibiotic inactivation	381
ARO:3006239	ACT beta-lactamase	ACT-44	carbapenem;cephalosporin;cephamycin;penam	antibiotic inactivation	381
ARO:3006240	ACT beta-lactamase	ACT-45	carbapenem;cephalosporin;cephamycin;penam	antibiotic inactivation	381
ARO:3006241	ACT beta-lactamase	ACT-46	carbapenem;cephalosporin;cephamycin;penam	antibiotic inactivation	381
ARO:3006242	ACT beta-lactamase	ACT-47	carbapenem;cephalosporin;cephamycin;penam	antibiotic inactivation	381
ARO:3006243	ACT beta-lactamase	ACT-48	carbapenem;cephalosporin;cephamycin;penam	antibiotic inactivation	381
ARO:3006244	ACT beta-lactamase	ACT-49	carbapenem;cephalosporin;cephamycin;penam	antibiotic inactivation	381
ARO:3006245	ACT beta-lactamase	ACT-50	carbapenem;cephalosporin;cephamycin;penam	antibiotic inactivation	381
ARO:3006246	ACT beta-lactamase	ACT-51	carbapenem;cephalosporin;cephamycin;penam	antibiotic inactivation	381
ARO:3006247	ACT beta-lactamase	ACT-52	carbapenem;cephalosporin;cephamycin;penam	antibiotic inactivation	381
ARO:3006248	ACT beta-lactamase	ACT-53	carbapenem;cephalosporin;cephamycin;penam	antibiotic inactivation	381
ARO:3006249	ACT beta-lactamase	ACT-54	carbapenem;cephalosporin;cephamycin;penam	antibiotic inactivation	381
ARO:3006250	ACT beta-lactamase	ACT-55	carbapenem;cephalosporin;cephamycin;penam	antibiotic inactivation	381
ARO:3006251	ACT beta-lactamase	ACT-56	carbapenem;cephalosporin;cephamycin;penam	antibiotic inactivation	381
ARO:3006252	ACT beta-lactamase	ACT-57	carbapenem;cephalosporin;cephamycin;penam	antibiotic inactivation	381
ARO:3006253	ACT beta-lactamase	ACT-58	carbapenem;cephalosporin;cephamycin;penam	antibiotic inactivation	381
ARO:3006254	ACT beta-lactamase	ACT-59	carbapenem;cephalosporin;cephamycin;penam	antibiotic inactivation	381
ARO:3006255	ACT beta-lactamase	ACT-60	carbapenem;cephalosporin;cephamycin;penam	antibiotic inactivation	381
ARO:3006256	ACT beta-lactamase	ACT-61	carbapenem;cephalosporin;cephamycin;penam	antibiotic inactivation	381
ARO:3006257	ACT beta-lactamase	ACT-62	carbapenem;cephalosporin;cephamycin;penam	antibiotic inactivation	381
ARO:3006258	ACT beta-lactamase	ACT-63	carbapenem;cephalosporin;cephamycin;penam	antibiotic inactivation	381
ARO:3006259	ACT beta-lactamase	ACT-64	carbapenem;cephalosporin;cephamycin;penam	antibiotic inactivation	381
ARO:3006260	ACT beta-lactamase	ACT-65	carbapenem;cephalosporin;cephamycin;penam	antibiotic inactivation	381
ARO:3006261	ACT beta-lactamase	ACT-66	carbapenem;cephalosporin;cephamycin;penam	antibiotic inactivation	381
ARO:3006262	ACT beta-lactamase	ACT-67	carbapenem;cephalosporin;cephamycin;penam	antibiotic inactivation	381
ARO:3006263	ACT beta-lactamase	ACT-68	carbapenem;cephalosporin;cephamycin;penam	antibiotic inactivation	381
ARO:3006264	ACT beta-lactamase	ACT-69	carbapenem;cephalosporin;cephamycin;penam	antibiotic inactivation	381
ARO:3006265	ACT beta-lactamase	ACT-70	carbapenem;cephalosporin;cephamycin;penam	antibiotic inactivation	381
ARO:3006266	ACT beta-lactamase	ACT-72	carbapenem;cephalosporin;cephamycin;penam	antibiotic inactivation	381
ARO:3006267	ACT beta-lactamase	ACT-73	carbapenem;cephalosporin;cephamycin;penam	antibiotic inactivation	381
ARO:3006268	ACT beta-lactamase	ACT-74	carbapenem;cephalosporin;cephamycin;penam	antibiotic inactivation	381
ARO:3006269	ACT beta-lactamase	ACT-75	carbapenem;cephalosporin;cephamycin;penam	antibiotic inactivation	381
ARO:3006270	ACT beta-lactamase	ACT-76	carbapenem;cephalosporin;cephamycin;penam	antibiotic inactivation	381
ARO:3006271	ACT beta-lactamase	ACT-77	carbapenem;cephalosporin;cephamycin;penam	antibiotic inactivation	381
ARO:3006272	ACT beta-lactamase	ACT-78	carbapenem;cephalosporin;cephamycin;penam	antibiotic inactivation	381
ARO:3006273	ACT beta-lactamase	ACT-79	carbapenem;cephalosporin;cephamycin;penam	antibiotic inactivation	381
ARO:3006274	ACT beta-lactamase	ACT-80	carbapenem;cephalosporin;cephamycin;penam	antibiotic inactivation	381
ARO:3006275	ACT beta-lactamase	ACT-81	carbapenem;cephalosporin;cephamycin;penam	antibiotic inactivation	381
ARO:3006276	ACT beta-lactamase	ACT-82	carbapenem;cephalosporin;cephamycin;penam	antibiotic inactivation	381
ARO:3006277	ACT beta-lactamase	ACT-83	carbapenem;cephalosporin;cephamycin;penam	antibiotic inactivation	381
ARO:3006278	ACT beta-lactamase	ACT-84	carbapenem;cephalosporin;cephamycin;penam	antibiotic inactivation	381
ARO:3006279	ACT beta-lactamase	ACT-87	carbapenem;cephalosporin;cephamycin;penam	antibiotic inactivation	381
ARO:3006280	ADC beta-lactamases pending classification for carbapenemase activity	ADC-100	cephalosporin	antibiotic inactivation	385
ARO:3006281	ADC beta-lactamases pending classification for carbapenemase activity	ADC-101	cephalosporin	antibiotic inactivation	383
ARO:3006282	ADC beta-lactamases pending classification for carbapenemase activity	ADC-102	cephalosporin	antibiotic inactivation	383
ARO:3006283	ADC beta-lactamases pending classification for carbapenemase activity	ADC-103	cephalosporin	antibiotic inactivation	383
ARO:3006284	ADC beta-lactamases pending classification for carbapenemase activity	ADC-104	cephalosporin	antibiotic inactivation	383
ARO:3006285	ADC beta-lactamases pending classification for carbapenemase activity	ADC-105	cephalosporin	antibiotic inactivation	383
ARO:3006286	ADC beta-lactamases pending classification for carbapenemase activity	ADC-106	cephalosporin	antibiotic inactivation	383
ARO:3006287	ADC beta-lactamases pending classification for carbapenemase activity	ADC-107	cephalosporin	antibiotic inactivation	383
ARO:3006288	ADC beta-lactamases pending classification for carbapenemase activity	ADC-109	cephalosporin	antibiotic inactivation	383
ARO:3006289	ADC beta-lactamases pending classification for carbapenemase activity	ADC-110	cephalosporin	antibiotic inactivation	383
ARO:3006290	ADC beta-lactamases pending classification for carbapenemase activity	ADC-112	cephalosporin	antibiotic inactivation	383
ARO:3006291	ADC beta-lactamases pending classification for carbapenemase activity	ADC-113	cephalosporin	antibiotic inactivation	383
ARO:3006292	ADC beta-lactamases pending classification for carbapenemase activity	ADC-114	cephalosporin	antibiotic inactivation	384
ARO:3006293	ADC beta-lactamases pending classification for carbapenemase activity	ADC-115	cephalosporin	antibiotic inactivation	383
ARO:3006294	ADC beta-lactamases pending classification for carbapenemase activity	ADC-116	cephalosporin	antibiotic inactivation	383
ARO:3006295	ADC beta-lactamases pending classification for carbapenemase activity	ADC-117	cephalosporin	antibiotic inactivation	383
ARO:3006296	ADC beta-lactamases pending classification for carbapenemase activity	ADC-119	cephalosporin	antibiotic inactivation	383
ARO:3006297	ADC beta-lactamases pending classification for carbapenemase activity	ADC-120	cephalosporin	antibiotic inactivation	383
ARO:3006298	ADC beta-lactamases pending classification for carbapenemase activity	ADC-121	cephalosporin	antibiotic inactivation	383
ARO:3006299	ADC beta-lactamases pending classification for carbapenemase activity	ADC-122	cephalosporin	antibiotic inactivation	383
ARO:3006300	ADC beta-lactamases pending classification for carbapenemase activity	ADC-123	cephalosporin	antibiotic inactivation	383
ARO:3006301	ADC beta-lactamases pending classification for carbapenemase activity	ADC-125	cephalosporin	antibiotic inactivation	383
ARO:3006302	ADC beta-lactamases pending classification for carbapenemase activity	ADC-127	cephalosporin	antibiotic inactivation	383
ARO:3006303	ADC beta-lactamases pending classification for carbapenemase activity	ADC-128	cephalosporin	antibiotic inactivation	383
ARO:3006304	ADC beta-lactamases pending classification for carbapenemase activity	ADC-129	cephalosporin	antibiotic inactivation	383
ARO:3006305	ADC beta-lactamases pending classification for carbapenemase activity	ADC-130	cephalosporin	antibiotic inactivation	383
ARO:3006306	ADC beta-lactamases pending classification for carbapenemase activity	ADC-131	cephalosporin	antibiotic inactivation	383
ARO:3006307	ADC beta-lactamases pending classification for carbapenemase activity	ADC-132	cephalosporin	antibiotic inactivation	383
ARO:3006308	ADC beta-lactamases pending classification for carbapenemase activity	ADC-133	cephalosporin	antibiotic inactivation	383
ARO:3006309	ADC beta-lactamases pending classification for carbapenemase activity	ADC-134	cephalosporin	antibiotic inactivation	383
ARO:3006310	ADC beta-lactamases pending classification for carbapenemase activity	ADC-135	cephalosporin	antibiotic inactivation	383
ARO:3006311	ADC beta-lactamases pending classification for carbapenemase activity	ADC-136	cephalosporin	antibiotic inactivation	383
ARO:3006312	ADC beta-lactamases pending classification for carbapenemase activity	ADC-137	cephalosporin	antibiotic inactivation	383
ARO:3006313	ADC beta-lactamases pending classification for carbapenemase activity	ADC-138	cephalosporin	antibiotic inactivation	383
ARO:3006314	ADC beta-lactamases pending classification for carbapenemase activity	ADC-139	cephalosporin	antibiotic inactivation	383
ARO:3006315	ADC beta-lactamases pending classification for carbapenemase activity	ADC-140	cephalosporin	antibiotic inactivation	383
ARO:3006316	ADC beta-lactamases pending classification for carbapenemase activity	ADC-141	cephalosporin	antibiotic inactivation	383
ARO:3006317	ADC beta-lactamases pending classification for carbapenemase activity	ADC-143	cephalosporin	antibiotic inactivation	383
ARO:3006318	ADC beta-lactamases pending classification for carbapenemase activity	ADC-144	cephalosporin	antibiotic inactivation	383
ARO:3006319	ADC beta-lactamases pending classification for carbapenemase activity	ADC-145	cephalosporin	antibiotic inactivation	383
ARO:3006320	ADC beta-lactamases pending classification for carbapenemase activity	ADC-146	cephalosporin	antibiotic inactivation	383
ARO:3006321	ADC beta-lactamases pending classification for carbapenemase activity	ADC-147	cephalosporin	antibiotic inactivation	383
ARO:3006322	ADC beta-lactamases pending classification for carbapenemase activity	ADC-148	cephalosporin	antibiotic inactivation	383
ARO:3006323	ADC beta-lactamases pending classification for carbapenemase activity	ADC-149	cephalosporin	antibiotic inactivation	383
ARO:3006324	ADC beta-lactamases pending classification for carbapenemase activity	ADC-150	cephalosporin	antibiotic inactivation	383
ARO:3006325	ADC beta-lactamases pending classification for carbapenemase activity	ADC-151	cephalosporin	antibiotic inactivation	383
ARO:3006326	ADC beta-lactamases pending classification for carbapenemase activity	ADC-152	cephalosporin	antibiotic inactivation	383
ARO:3006327	ADC beta-lactamases pending classification for carbapenemase activity	ADC-153	cephalosporin	antibiotic inactivation	383
ARO:3006328	ADC beta-lactamases pending classification for carbapenemase activity	ADC-154	cephalosporin	antibiotic inactivation	383
ARO:3006329	ADC beta-lactamases pending classification for carbapenemase activity	ADC-155	cephalosporin	antibiotic inactivation	383
ARO:3006330	ADC beta-lactamases pending classification for carbapenemase activity	ADC-156	cephalosporin	antibiotic inactivation	383
ARO:3006331	ADC beta-lactamases pending classification for carbapenemase activity	ADC-157	cephalosporin	antibiotic inactivation	383
ARO:3006332	ADC beta-lactamases pending classification for carbapenemase activity	ADC-158	cephalosporin	antibiotic inactivation	383
ARO:3006333	ADC beta-lactamases pending classification for carbapenemase activity	ADC-160	cephalosporin	antibiotic inactivation	383
